,Name,Duration,Genre,Rating,No. of Ratings,No. of Episodes,Creators,Stars,Reviews (Users),Reviews (Critics),Seasons,Storyline,Language,Release Date
23,Puppy Dog Pals,24min,"['Animation', 'Family']",7,823,91,['Harland Williams'],"['Harland Williams', 'Issac Ryan Brown', 'Sam Lavagnino']",34,1,4,"Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe. Whether helping their owner Bob or assisting a friend in need, the pugs' motto is that life is more exciting with your best friend by your side. Each episode features two 11-minute stories that showcase Bingo and Rolly's similarities and differences while demonstrating positive lessons about friendship, problem-solving, collaboration, creativity and adventure.
Written by
Disney Channel PR",English,14 April 2017 (USA)
24,Kathmandu Connection,,"['Action', 'Crime', 'Thriller']",5.8,1425,6,,"['Anshuman Pushkar', 'Anurag Arora', 'Aksha Pardasany']",110,2,1,"An officer is murdered, a hotelier is kidnapped, and a reporter is stalked against the backdrop of the 1993 Mumbai Blast.",Hindi,April 2021 (India)
25,Gandii Baat,40min,"['Crime', 'Drama', 'Thriller']",3.4,2556,24,,"['Kunwar Vikram Soni', 'Mridula Mahajan', 'Guru Haryani']",35,2,6,"Relationships, over time, have become complicated or maybe they were never that simple as they seem. These stories will make you see that whether you are in rural or urban India, sex is a factor which will affect you at every level. Because desires can be brutal and no matter where you are and what you do, your desires can change your fate. In these stories you will see how people from rural India are deeply affected by their dark fantasies. And it's not just men, but even rural women going to any extent for the sake of sex - including heinous crimes as well. This is a show which will make your heart, and more, throb a lot faster.",Hindi,3 May 2018 (India)
26,Six,,"['Crime', 'Mystery', 'Thriller']",6.4,143,7,,"['Vibhoutee Sharma', 'Akash Agarwal', 'Mandira Bedi']",30,,1,"One murder. Six women. All probable killers. Battling hidden motives and pure emotions, can investigator Ruhana Dhullap solve the complicated murder mystery of business tycoon Kashish Sura?",Hindi,27 May 2021 (India)
27,Iru Dhuruvam,27min,"['Crime', 'Thriller']",8.3,421,9,,"['Ravi Jiva', 'Abhirami Iyer', 'Sebastin Antony']",25,,1,"The series consists of hard-core police investigation stories dealing with investigation, detection and suspense.",Tamil,27 September 2019 (India)
28,Aarya,51min,"['Crime', 'Drama', 'Thriller']",7.9,9614,9,"['Ram Madhvani', 'Sandeep Modi']","['Sushmita Sen', 'Vikas Kumar', 'Namit Das']",388,7,1,"A compelling story of a family, friends, foes and police in Indian drug industry. While one partner wants to get out, the others want a bigger slice of pie. In the chaos that ensues, its difficult to make out a friend from a foe. Can Aarya rise to the occasion?
Written by
aparsinghbataan",Hindi,19 June 2020 (India)
29,Mickey Mouse Clubhouse,30min,"['Animation', 'Comedy', 'Family']",5.7,2943,133,['Roberts Gannaway'],"['Tony Anselmo', 'Bill Farmer', 'Tress MacNeille']",48,22,4,"Mickey and his friends Minnie, Donald, Pluto, Daisy, Goofy, Pete, Clarabelle and more go on fun and educational adventures.",English,2006 (USA)
30,Made in Heaven,50min,"['Drama', 'Romance']",8.3,9289,9,"['Zoya Akhtar', 'Reema Kagti']","['Arjun Mathur', 'Sobhita Dhulipala', 'Jim Sarbh']",226,8,1,"Made In Heaven chronicles the lives of Tara and Karan, two wedding planners based in Delhi. India is a potent blend of old and new. Tradition jostles with modern aspirations against the backdrop of a Big Fat Indian Wedding revealing many secrets and many lies. The supposedly liberal fabric of the upper crust unravels as the duo navigate through arranged marriages, dowry transactions and virginity tests.",Hindi,8 March 2019 (India)
31,The Married Woman,30min,"['Drama', 'Romance']",9.4,7506,11,,"['Riddhi Dogra', 'Monica Dogra', 'Suhaas Ahuja']",621,5,1,"A wife, a mom, a teacher, a homemaker, she's played all the roles, but what about being true to herself? Being Astha? Be a part of Astha's journey as she breaks boundaries, set by society, to find herself.",Hindi,8 March 2021 (India)
32,JL50,42min,"['Drama', 'Sci-Fi', 'Thriller']",7.6,7857,5,,"['Abhay Deol', 'Pankaj Kapur', 'Ritika Anand']",442,8,1,"CBI investigation into a recently crashed flight takes a drastic turn when they find out that JL 50 is a flight that took off 35 years ago from Kolkata and then went missing. Shantanu, the CBI officer (Abhay Deol) in charge of the case, has his own inner mystery that supports the unfolding of this baffling investigation.",Hindi,4 September 2020 (India)
33,Inside Edge,45min,"['Drama', 'Sport']",8,9319,30,['Karan Anshuman'],"['Richa Chadha', 'Angad Bedi', 'Tanuj Virwani']",131,1,3,"Inside Edge is a fictional series that follows the trials, tribulations, and triumphs of the Mumbai Mavericks, a T20 cricket franchise playing in the PowerPlay League. With enough twists and turns to cause whiplash, Inside Edge is your window into the world of the powerful men and women who run the game behind the game, who will stop at nothing to get what they want. Their ambition is an all-consuming force, a vortex of deceit, lust, greed, manipulation and betrayal that threatens to destroy the very sport they swore to protect.
Written by
Official",Hindi,10 July 2017 (India)
34,His Story,,['Drama'],9.7,3832,11,,"['Priyamani', 'Satyadeep Misra', 'Devesh Siwal']",319,1,1,"His Storyy is a rollercoaster tale of a power couple, Kunal-Sakshi who lead a perfect married life since 15 years and are the epitome of perfection that makes their friends red with envy. But then a startling revelation comes to light, creating trouble in paradise. What is that revelation? Will Kunal and Sakshi be able to get through or will their marital bliss come crashing down?",Hindi,2021 (India)
35,Bandish Bandits,30min,"['Drama', 'Music', 'Romance']",8.7,14018,10,"['Amritpal Singh Bindra', 'Anand Tiwari']","['Ritwik Bhowmik', 'Shreya Chaudhary', 'Naseeruddin Shah']",954,9,1,"Bandish bandits is a refreshing breath of music and youthful love. A big city girl and a small town guy are driven to be the best in genre come together to collaborate due to personal goals. With time their respect for each other as well as music genre grows, which takes the shape of love. However, things go awry on personal front. Will they be able to achieve their goals and make a comeback together?
Written by
aparsinghbataan",Hindi,4 August 2020 (India)
36,Gullak,24min,"['Comedy', 'Drama', 'Family']",9.2,9077,10,['Shreyansh Pandey'],"['Jameel Khan', 'Geetanjali Kulkarni', 'Vaibhav Raj Gupta']",364,1,2,"What do you expect stories from a small town in the heart of North India to be like? Filled with shades of grey, petty crime, sorrow and stories of revenge? You couldn't be further from the truth and Gullak will show you how. Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family. Join Santosh and Shanti Mishra, their sons Annu and Aman, as they savour the many flavours of a small-town life with a smattering of humour, wit and of course, ladleful's of love.",Hindi,27 June 2019 (India)
37,Bard of Blood,45min,"['Action', 'Adventure', 'Drama']",6.9,9242,7,,"['Emraan Hashmi', 'Sobhita Dhulipala', 'Jaideep Ahlawat']",430,12,1,"Follows four Indian intelligence officers belonging to the Indian Intelligence Wing (IIW) who are compromised, before they can relay an important piece of information to India. They get captured and are about to be decapitated. The stakes are high. Back in India, the intelligence veteran Sadiq Sheikh, the handler of the captured agents, realizes he must spearhead a clandestine mission to rescue his men. He reaches out to a former spy and now professor of Shakespeare, Kabir Anand - a man who knows the terrain and politics of Balochistan inside out. Kabir must connect the dots from the cryptic information that he has at his disposal. The only way for Kabir to get the answers is to embark upon a dangerous journey and complete unfinished business.",Hindi,27 September 2019 (India)
38,Tandav,30min,"['Drama', 'Thriller']",3.7,55247,9,['Ali Abbas Zafar'],"['Saif Ali Khan', 'Dimple Kapadia', 'Mohd. Zeeshan Ayyub']",655,11,1,"Prime Minister Devki Nandan Singh is about to succeed the throne third time,his son Samar Pratap Singh joins his party but Devki Nandan's friend Gopal Das warns him that Samar might change the game completely once he enters the party.Anuradha Kishore keep of Devkii Nandan an prominent member of party Samar has accepted her and her son Raghu's relationship with his father.Samar plans and kills Devki Nandan by poisoning leading him to an heart attack so that he can take the throne of Prime Minister. On the other end a student Shiva whose part of college politics is protesting with friends where farmers are protesting against an ice factory which is coming on the farmland but nobody is interested in taking their story as everybody is covering on Devki Nandan's death.On Devki Nandan's funeral Anuradha tells Samar she has proof that he killed is father and he should offer her the Prime Ministers seat in order to save himself from getting exposed.Samar chooses Anuradha for the throne but ...
Written by
alex.mjacko@gmail.com",Hindi,14 January 2021 (USA)
39,Crime Next Door,,"['Crime', 'Thriller']",6.7,41,15,,"['Gagan Pareek', 'Boloram Das', 'Anupriya Goenka']",1,,1,"A twisted tale full of murder, mysteries and deceit. The truth is not what it seems to be.",Hindi,3 June 2021 (India)
40,College Romance,30min,"['Comedy', 'Drama', 'Romance']",8.9,24235,10,,"['Manjot Singh', 'Apoorva Arora', 'Keshav Sadhna']",1653,,2,"Three best friends look for love, laughs and some lifelong memories while attending college together.",Hindi,1 October 2019 (USA)
41,Out of Love,50min,['Thriller'],7.1,1062,10,"['Mike Bartlett', 'Rajesh Chadha', 'Siddharth Hirwe', '2 more credits']","['Rasika Dugal', 'Purab Kohli', 'Suhaas Ahuja']",42,1,2,"Meera(Rasika) begins to suspect every female associate of Akarsh(Purab), her husband after she found a stray hair which is not hers. After discussing with her friend, she thought she might be over reactive but does not stop digging up for finding the evidence
Written by
kambamreddy",Hindi,22 November 2019 (India)
42,Little Things,16min,"['Comedy', 'Romance']",8.3,4812,24,"['Dhruv Sehgal', 'Dhruv Sehgal']","['Dhruv Sehgal', 'Mithila Palkar', 'Abhishek Bhalerao']",85,4,4,"A cohabiting couple in their 20s navigate the ups and downs of work, modern-day relationships and finding themselves in contemporary Bengaluru.",English,25 October 2016 (India)
43,A Suitable Boy,1h,"['Drama', 'Romance']",5.7,4417,7,,"['Tanya Maniktala', 'Ishaan Khattar', 'Mahira Kakkar']",245,22,1,"A vast, panoramic tale charting the fortunes of four large families and exploring India and its rich and varied culture at a crucial point in its history.",English,7 December 2020 (USA)
44,Yeh Meri Family,30min,"['Comedy', 'Drama', 'Family']",9.1,21447,7,['Sameer Saxena'],"['Vishesh Bansal', 'Mona Singh', 'Akarsh Khurana']",382,3,1,"Harshu(12), a rebel Indian adolescent is coming of age by questioning and understanding the dynamics of relationships in a middle class family. Every episode sees Harshu, whose voice over breaks the fourth wall, understanding a particular relationship; be that with his mother, father, siblings, friends or his school crush Vidhya. In finale, he realizes the importance of whole family.",Hindi,12 July 2018 (India)
45,Avrodh: The Siege Within,40min,['Action'],7.7,3123,9,,"['Amit Sadh', 'Vikram Gokhale', 'Neeraj Kabi']",161,2,1,It is a War Thriller based on the theme of Indian Army and Uri Surgical Strike.,Hindi,31 July 2020 (India)
